,0
per,0.04267473184373429
group_14505,0.02598566317590333
group_4488,0.02281212653150268
group_6750,0.019377240240173312
group_10301,0.010678016780925698
group_719,0.010491338104517016
group_20990,0.0040322581446299
group_16382,0.0
group_16375,0.0
group_16376,0.0
group_16377,0.0
group_16378,0.0
group_16379,0.0
group_1638,0.0
group_16380,0.0
group_16381,0.0
group_1639,0.0
group_16373,0.0
group_16383,0.0
group_16384,0.0
group_16385,0.0
group_16386,0.0
group_16387,0.0
group_16388,0.0
group_16389,0.0
group_16374,0.0
group_16371,0.0
group_16372,0.0
group_16362,0.0
group_16355,0.0
group_16356,0.0
group_16357,0.0
group_16358,0.0
group_16359,0.0
group_1636,0.0
group_16360,0.0
group_16361,0.0
group_16363,0.0
group_16391,0.0
group_16364,0.0
group_16365,0.0
group_16366,0.0
group_16367,0.0
group_16368,0.0
group_16369,0.0
group_1637,0.0
group_16370,0.0
group_16390,0.0
zur,0.0
group_16392,0.0
group_16420,0.0
group_16413,0.0
group_16414,0.0
group_16415,0.0
group_16416,0.0
group_16417,0.0
group_16418,0.0
group_16419,0.0
group_1642,0.0
group_16421,0.0
group_16411,0.0
group_16422,0.0
group_16423,0.0
group_16424,0.0
group_16425,0.0
group_16426,0.0
group_16427,0.0
group_16428,0.0
group_16429,0.0
group_16412,0.0
group_16410,0.0
group_16393,0.0
group_16400,0.0
group_16354,0.0
group_16395,0.0
group_16396,0.0
group_16397,0.0
group_16398,0.0
group_16399,0.0
group_164,0.0
group_1640,0.0
group_16401,0.0
group_1641,0.0
group_16402,0.0
group_16403,0.0
group_16404,0.0
group_16405,0.0
group_16406,0.0
group_16407,0.0
group_16408,0.0
group_16409,0.0
group_16394,0.0
group_16352,0.0
group_16353,0.0
group_16301,0.0
group_16295,0.0
group_16296,0.0
group_16297,0.0
group_16298,0.0
group_16299,0.0
group_163,0.0
group_1630,0.0
group_16300,0.0
group_16302,0.0
group_16293,0.0
group_16303,0.0
group_16304,0.0
group_16305,0.0
group_16306,0.0
group_16307,0.0
group_16308,0.0
group_16309,0.0
group_1631,0.0
group_16294,0.0
group_16292,0.0
group_16311,0.0
group_16282,0.0
group_16275,0.0
group_16276,0.0
group_16277,0.0
group_16278,0.0
group_16279,0.0
group_1628,0.0
group_16280,0.0
group_16281,0.0
group_16283,0.0
group_16291,0.0
group_16284,0.0
group_16285,0.0
group_16286,0.0
group_16287,0.0
group_16288,0.0
group_16289,0.0
group_1629,0.0
group_16290,0.0
group_16310,0.0
group_16312,0.0
group_16430,0.0
group_16342,0.0
group_16335,0.0
group_16336,0.0
group_16337,0.0
group_16338,0.0
group_16339,0.0
group_1634,0.0
group_16340,0.0
group_16341,0.0
group_16344,0.0
group_16333,0.0
group_16345,0.0
group_16346,0.0
group_16347,0.0
group_16348,0.0
group_16349,0.0
group_1635,0.0
group_16350,0.0
group_16351,0.0
group_16334,0.0
group_16332,0.0
group_16313,0.0
group_16322,0.0
group_16314,0.0
group_16316,0.0
group_16317,0.0
group_16318,0.0
group_16319,0.0
group_1632,0.0
group_16320,0.0
group_16321,0.0
group_16323,0.0
group_16331,0.0
group_16324,0.0
group_16325,0.0
group_16326,0.0
group_16327,0.0
group_16328,0.0
group_16329,0.0
group_1633,0.0
group_16330,0.0
group_1643,0.0
group_16432,0.0
group_16431,0.0
group_16544,0.0
group_16537,0.0
group_16538,0.0
group_16539,0.0
group_1654,0.0
group_16540,0.0
group_16541,0.0
group_16542,0.0
group_16543,0.0
group_16545,0.0
group_16535,0.0
group_16546,0.0
group_16547,0.0
group_16548,0.0
group_16549,0.0
group_1655,0.0
group_16550,0.0
group_16551,0.0
group_16553,0.0
group_16536,0.0
group_16534,0.0
group_16555,0.0
group_16522,0.0
group_16514,0.0
group_16515,0.0
group_16516,0.0
group_16517,0.0
group_16518,0.0
group_16519,0.0
group_16520,0.0
group_16521,0.0
group_16523,0.0
group_16532,0.0
group_16524,0.0
group_16525,0.0
group_16526,0.0
group_16527,0.0
group_16528,0.0
group_16529,0.0
group_16530,0.0
group_16531,0.0
group_16554,0.0
group_16556,0.0
group_16512,0.0
group_16586,0.0
group_16578,0.0
group_16579,0.0
group_1658,0.0
group_16581,0.0
group_16582,0.0
group_16583,0.0
group_16584,0.0
group_16585,0.0
group_16587,0.0
group_16576,0.0
group_16588,0.0
group_16589,0.0
group_1659,0.0
group_16590,0.0
group_16591,0.0
group_16592,0.0
group_16593,0.0
group_16594,0.0
group_16577,0.0
group_16575,0.0
group_16557,0.0
group_16565,0.0
group_16558,0.0
group_16559,0.0
group_1656,0.0
group_16560,0.0
group_16561,0.0
group_16562,0.0
group_16563,0.0
group_16564,0.0
group_16566,0.0
group_16574,0.0
group_16567,0.0
group_16568,0.0
group_16569,0.0
group_1657,0.0
group_16570,0.0
group_16571,0.0
group_16572,0.0
group_16573,0.0
group_16513,0.0
group_16511,0.0
group_16273,0.0
group_16460,0.0
group_16453,0.0
group_16454,0.0
group_16455,0.0
group_16456,0.0
group_16457,0.0
group_16458,0.0
group_16459,0.0
group_1646,0.0
group_16461,0.0
group_16451,0.0
group_16462,0.0
group_16463,0.0
group_16464,0.0
group_16465,0.0
group_16466,0.0
group_16467,0.0
group_16468,0.0
group_16469,0.0
group_16452,0.0
group_16450,0.0
group_16470,0.0
group_16440,0.0
group_16433,0.0
group_16434,0.0
group_16435,0.0
group_16436,0.0
group_16437,0.0
group_16438,0.0
group_16439,0.0
group_1644,0.0
group_16441,0.0
group_1645,0.0
group_16442,0.0
group_16443,0.0
group_16444,0.0
group_16445,0.0
group_16446,0.0
group_16447,0.0
group_16448,0.0
group_16449,0.0
group_1647,0.0
group_16471,0.0
group_16510,0.0
group_16500,0.0
group_16494,0.0
group_16495,0.0
group_16496,0.0
group_16497,0.0
group_16498,0.0
group_16499,0.0
group_165,0.0
group_1650,0.0
group_16501,0.0
group_16492,0.0
group_16503,0.0
group_16504,0.0
group_16505,0.0
group_16506,0.0
group_16507,0.0
group_16508,0.0
group_16509,0.0
group_1651,0.0
group_16493,0.0
group_16491,0.0
group_16472,0.0
group_16481,0.0
group_16473,0.0
group_16474,0.0
group_16475,0.0
group_16476,0.0
group_16477,0.0
group_16478,0.0
group_16479,0.0
group_16480,0.0
group_16482,0.0
group_16490,0.0
group_16483,0.0
group_16484,0.0
group_16485,0.0
group_16486,0.0
group_16487,0.0
group_16488,0.0
group_16489,0.0
group_1649,0.0
group_16274,0.0
group_16270,0.0
group_16272,0.0
group_16052,0.0
group_16045,0.0
group_16046,0.0
group_16047,0.0
group_16048,0.0
group_16049,0.0
group_1605,0.0
group_16050,0.0
group_16051,0.0
group_16053,0.0
group_16043,0.0
group_16054,0.0
group_16055,0.0
group_16056,0.0
group_16057,0.0
group_16058,0.0
group_16059,0.0
group_16060,0.0
group_16061,0.0
group_16044,0.0
group_16042,0.0
group_16063,0.0
group_16031,0.0
group_16024,0.0
group_16025,0.0
group_16026,0.0
group_16027,0.0
group_16028,0.0
group_16029,0.0
group_1603,0.0
group_16030,0.0
group_16032,0.0
group_16040,0.0
group_16033,0.0
group_16034,0.0
group_16035,0.0
group_16036,0.0
group_16037,0.0
group_16038,0.0
group_16039,0.0
group_1604,0.0
group_16062,0.0
group_16064,0.0
group_16022,0.0
group_161,0.0
group_16089,0.0
group_1609,0.0
group_16090,0.0
group_16091,0.0
group_16092,0.0
group_16097,0.0
group_16098,0.0
group_16099,0.0
group_1610,0.0
group_16086,0.0
group_16100,0.0
group_16101,0.0
group_16102,0.0
group_16103,0.0
group_16104,0.0
group_16105,0.0
group_16106,0.0
group_16107,0.0
group_16088,0.0
group_16085,0.0
group_16065,0.0
group_16074,0.0
group_16066,0.0
group_16067,0.0
group_16068,0.0
group_16069,0.0
group_1607,0.0
group_16070,0.0
group_16072,0.0
group_16073,0.0
group_16075,0.0
group_16084,0.0
group_16076,0.0
group_16078,0.0
group_16079,0.0
group_1608,0.0
group_16080,0.0
group_16081,0.0
group_16082,0.0
group_16083,0.0
group_16023,0.0
group_16021,0.0
group_16271,0.0
group_15969,0.0
group_15961,0.0
group_15962,0.0
group_15963,0.0
group_15964,0.0
group_15965,0.0
group_15966,0.0
group_15967,0.0
group_15968,0.0
group_1597,0.0
group_1596,0.0
group_15971,0.0
group_15972,0.0
group_15973,0.0
group_15974,0.0
group_15975,0.0
group_15976,0.0
group_15977,0.0
group_15978,0.0
group_15960,0.0
group_15959,0.0
group_1598,0.0
group_15949,0.0
group_15936,0.0
group_15938,0.0
group_15939,0.0
group_15941,0.0
group_15943,0.0
group_15945,0.0
group_15947,0.0
group_15948,0.0
group_1595,0.0
group_15958,0.0
group_15950,0.0
group_15951,0.0
group_15952,0.0
group_15953,0.0
group_15954,0.0
group_15955,0.0
group_15956,0.0
group_15957,0.0
group_15979,0.0
group_15980,0.0
group_16020,0.0
group_1601,0.0
group_16002,0.0
group_16003,0.0
group_16004,0.0
group_16005,0.0
group_16006,0.0
group_16007,0.0
group_16008,0.0
group_16009,0.0
group_16010,0.0
group_16000,0.0
group_16011,0.0
group_16012,0.0
group_16013,0.0
group_16014,0.0
group_16015,0.0
group_16016,0.0
group_16017,0.0
group_16018,0.0
group_16001,0.0
group_160,0.0
group_15981,0.0
group_1599,0.0
group_15982,0.0
group_15983,0.0
group_15984,0.0
group_15985,0.0
group_15986,0.0
group_15987,0.0
group_15988,0.0
group_15989,0.0
group_15990,0.0
group_16,0.0
group_15991,0.0
group_15992,0.0
group_15993,0.0
group_15995,0.0
group_15996,0.0
group_15997,0.0
group_15998,0.0
group_15999,0.0
group_16108,0.0
group_16109,0.0
group_1611,0.0
group_1622,0.0
group_16212,0.0
group_16213,0.0
group_16214,0.0
group_16215,0.0
group_16216,0.0
group_16217,0.0
group_16218,0.0
group_16219,0.0
group_16220,0.0
group_16210,0.0
group_16221,0.0
group_16222,0.0
group_16223,0.0
group_16224,0.0
group_16225,0.0
group_16226,0.0
group_16227,0.0
group_16228,0.0
group_16211,0.0
group_1621,0.0
group_16230,0.0
group_1620,0.0
group_16193,0.0
group_16194,0.0
group_16195,0.0
group_16196,0.0
group_16197,0.0
group_16198,0.0
group_16199,0.0
group_162,0.0
group_16200,0.0
group_16209,0.0
group_16201,0.0
group_16202,0.0
group_16203,0.0
group_16204,0.0
group_16205,0.0
group_16206,0.0
group_16207,0.0
group_16208,0.0
group_16229,0.0
group_16231,0.0
group_16110,0.0
group_16262,0.0
group_16255,0.0
group_16256,0.0
group_16257,0.0
group_16258,0.0
group_16259,0.0
group_1626,0.0
group_16260,0.0
group_16261,0.0
group_16263,0.0
group_16253,0.0
group_16264,0.0
group_16265,0.0
group_16266,0.0
group_16267,0.0
group_16268,0.0
group_16269,0.0
group_1627,0.0
group_16596,0.0
group_16254,0.0
group_16252,0.0
group_16232,0.0
group_16242,0.0
group_16233,0.0
group_16235,0.0
group_16236,0.0
group_16237,0.0
group_16238,0.0
group_16239,0.0
group_16240,0.0
group_16241,0.0
group_16243,0.0
group_16251,0.0
group_16244,0.0
group_16245,0.0
group_16246,0.0
group_16247,0.0
group_16248,0.0
group_16249,0.0
group_1625,0.0
group_16250,0.0
group_16192,0.0
group_16191,0.0
group_16190,0.0
group_16140,0.0
group_16133,0.0
group_16134,0.0
group_16135,0.0
group_16136,0.0
group_16137,0.0
group_16138,0.0
group_16139,0.0
group_1614,0.0
group_16141,0.0
group_16131,0.0
group_16142,0.0
group_16143,0.0
group_16144,0.0
group_16145,0.0
group_16146,0.0
group_16147,0.0
group_16148,0.0
group_16149,0.0
group_16132,0.0
group_16130,0.0
group_1619,0.0
group_16119,0.0
group_16111,0.0
group_16112,0.0
group_16113,0.0
group_16114,0.0
group_16115,0.0
group_16116,0.0
group_16117,0.0
group_16118,0.0
group_16120,0.0
group_16129,0.0
group_16121,0.0
